B00, 0
B01, 0
B07, Trade, 243941.483, 79, B07, S03, 1
B07, Trade, 244247.200, 77, B07, S04, 1
B07, Trade, 244263.250, 79, B07, S03, 1
B07, Trade, 244579.800, 75, B07, S04, 1
B07, Trade, 254612.883, 78, B07, S02, 1
B08, 100
B08, Trade, 192164.733, 77, B08, S01, 1
B08, Trade, 192411.700, 81, B08, S01, 1
B08, Trade, 192758.967, 82, B08, S08, 1
B08, Trade, 192967.833, 81, B08, S03, 1
B08, Trade, 193068.283, 82, B08, S01, 1
B08, Trade, 193105.783, 78, B08, S03, 1
B08, Trade, 193114.517, 82, B08, S02, 1
B08, Trade, 193387.983, 80, B08, S02, 1
B08, Trade, 193791.817, 82, B08, S01, 1
B08, Trade, 193840.967, 82, B08, S06, 1
B08, Trade, 194060.433, 81, B08, S07, 1
B08, Trade, 194197.817, 82, B08, S06, 1
B08, Trade, 194392.867, 76, B08, S03, 1
B08, Trade, 195820.150, 82, B08, S02, 1
B08, Trade, 196386.183, 79, B08, S01, 1
B08, Trade, 197042.750, 82, B08, S03, 1
B08, Trade, 197175.900, 81, B08, S03, 1
B08, Trade, 197802.883, 81, B08, S02, 1
B08, Trade, 198532.750, 81, B08, S02, 1
B08, Trade, 199111.583, 81, B08, S06, 1
B08, Trade, 199715.017, 82, B08, S02, 1
B08, Trade, 213256.117, 82, B08, S01, 1
B08, Trade, 216010.933, 82, B08, S03, 1
B08, Trade, 216231.117, 80, B08, S06, 1
B08, Trade, 216262.217, 82, B08, S06, 1
B08, Trade, 216308.533, 82, B08, S02, 1
B08, Trade, 216351.317, 82, B08, S07, 1
B08, Trade, 216508.983, 78, B08, S04, 1
B08, Trade, 216829.600, 82, B08, S00, 1
B08, Trade, 217365.917, 80, B08, S01, 1
B08, Trade, 217386.250, 80, B08, S06, 1
B08, Trade, 217600.717, 81, B08, S03, 1
B08, Trade, 217709.467, 81, B08, S05, 1
B08, Trade, 217814.483, 81, B08, S03, 1
B08, Trade, 217829.200, 80, B08, S06, 1
B08, Trade, 217929.267, 82, B08, S06, 1
B08, Trade, 218504.067, 76, B08, S00, 1
B08, Trade, 218641.983, 80, B08, S07, 1
B08, Trade, 218988.800, 81, B08, S04, 1
B08, Trade, 219192.850, 81, B08, S00, 1
B08, Trade, 219213.300, 82, B08, S00, 1
B08, Trade, 219255.650, 82, B08, S07, 1
B08, Trade, 219496.150, 82, B08, S03, 1
B08, Trade, 219600.817, 81, B08, S01, 1
B08, Trade, 219696.750, 77, B08, S02, 1
B08, Trade, 219698.683, 80, S07, B08, 1
B08, Trade, 219828.200, 81, B08, S04, 1
B08, Trade, 220429.383, 80, B08, S07, 1
B08, Trade, 220555.400, 81, B08, S03, 1
B08, Trade, 220779.600, 82, B08, S02, 1
B08, Trade, 221040.433, 81, B08, S02, 1
B08, Trade, 221071.633, 79, B08, S07, 1
B08, Trade, 221366.083, 82, B08, S03, 1
B08, Trade, 221453.267, 80, B08, S06, 1
B08, Trade, 221782.917, 82, B08, S01, 1
B08, Trade, 221889.417, 77, B08, S03, 1
B08, Trade, 222507.367, 82, S08, B08, 1
B08, Trade, 222532.683, 82, B08, S03, 1
B08, Trade, 222637.200, 74, S00, B08, 1
B08, Trade, 222640.450, 81, B08, S06, 1
B08, Trade, 222647.717, 82, B08, S04, 1
B08, Trade, 222848.000, 80, B08, S07, 1
B08, Trade, 224902.750, 81, B08, S01, 1
B08, Trade, 227833.267, 79, B08, S02, 1
B08, Trade, 228933.217, 81, B08, S01, 1
B08, Trade, 234228.567, 80, B08, S07, 1
