B00, 1
B07, Trade, 253887.317, 195, B07, S02, 1
B07, Trade, 253985.733, 197, B07, S05, 1
B07, Trade, 254108.933, 199, B07, S03, 1
B07, Trade, 254164.517, 197, B07, S02, 1
B07, Trade, 254244.283, 199, B07, S04, 1
B07, Trade, 254299.267, 199, B07, S02, 1
B07, Trade, 254326.250, 198, B07, S02, 1
B07, Trade, 254361.017, 199, B07, S04, 1
B07, Trade, 254441.117, 197, B07, S02, 1
B07, Trade, 254456.667, 198, B07, S03, 1
B07, Trade, 254548.450, 198, B07, S04, 1
B07, Trade, 254604.050, 197, B07, S03, 1
B07, Trade, 254647.283, 198, B07, S02, 1
B07, Trade, 254855.433, 199, B07, S02, 1
B07, Trade, 254949.267, 196, B07, S04, 1
B07, Trade, 255009.033, 198, B07, S03, 1
B07, Trade, 255076.050, 195, B07, S02, 1
B07, Trade, 255178.850, 194, B07, S02, 1
B07, Trade, 255229.567, 197, B07, S02, 1
B07, Trade, 255416.867, 196, B07, S05, 1
B07, Trade, 255548.350, 197, B07, S03, 1
B07, Trade, 255556.983, 195, B07, S02, 1
B07, Trade, 255574.050, 199, B07, S05, 1
B07, Trade, 255813.117, 195, B07, S04, 1
B07, Trade, 255835.217, 198, B07, S03, 1
B07, Trade, 256032.450, 195, B07, S02, 1
B07, Trade, 256092.883, 197, B07, S02, 1
B07, Trade, 256104.900, 196, B07, S02, 1
B07, Trade, 256225.233, 195, B07, S03, 1
B07, Trade, 256307.200, 195, B07, S03, 1
B07, Trade, 256456.133, 198, B07, S02, 1
B07, Trade, 256463.617, 198, B07, S04, 1
B07, Trade, 256785.500, 195, B07, S02, 1
B07, Trade, 257254.167, 196, B07, S02, 1
B07, Trade, 257329.167, 194, S04, B07, 1
B07, Trade, 257413.983, 198, B07, S02, 1
B07, Trade, 257849.867, 195, B07, S02, 1
B07, Trade, 257995.167, 195, B07, S03, 1
B07, Trade, 258238.450, 198, B07, S02, 1
B07, Trade, 258574.583, 196, B07, S03, 1
B07, Trade, 258723.967, 197, B07, S03, 1
B07, Trade, 259040.217, 198, B07, S02, 1
B07, Trade, 259122.017, 196, B07, S03, 1
B07, Trade, 259168.517, 198, B07, S02, 1
B08, 100
B08, Trade, 257569.667, 202, B08, S05, 1
B08, Trade, 257599.783, 200, B08, S03, 1
B08, Trade, 257612.717, 202, B08, S03, 1
B08, Trade, 257619.700, 198, B08, S05, 1
B08, Trade, 257632.867, 198, B08, S03, 1
B08, Trade, 257657.067, 202, B08, S05, 1
B08, Trade, 257660.317, 197, B08, S03, 1
B08, Trade, 257680.833, 197, B08, S03, 1
B08, Trade, 257696.833, 202, B08, S04, 1
B08, Trade, 257701.517, 202, B08, S02, 1
B08, Trade, 257712.183, 201, B08, S03, 1
B08, Trade, 257749.983, 202, S00, B08, 1
B08, Trade, 257787.533, 201, B08, S03, 1
B08, Trade, 257817.400, 201, B08, S03, 1
B08, Trade, 257827.083, 200, B08, S02, 1
B08, Trade, 257843.567, 202, B08, S03, 1
B08, Trade, 257903.150, 202, B08, S02, 1
B08, Trade, 257910.433, 202, B08, S02, 1
B08, Trade, 257913.550, 202, B08, S04, 1
B08, Trade, 257922.133, 202, B08, S02, 1
B08, Trade, 257954.167, 202, S05, B08, 1
B08, Trade, 257966.100, 202, B08, S05, 1
B08, Trade, 257970.933, 198, B08, S03, 1
B08, Trade, 257980.300, 200, B08, S02, 1
B08, Trade, 257995.067, 202, B08, S02, 1
B08, Trade, 258040.267, 201, B08, S03, 1
B08, Trade, 258051.683, 199, B08, S03, 1
B08, Trade, 258064.567, 200, B08, S04, 1
B08, Trade, 258089.250, 200, B08, S02, 1
B08, Trade, 258122.667, 201, B08, S02, 1
B08, Trade, 258125.767, 199, B08, S03, 1
B08, Trade, 258155.283, 196, B08, S02, 1
B08, Trade, 258173.650, 201, B08, S05, 1
B08, Trade, 258193.250, 201, B08, S05, 1
B08, Trade, 258200.850, 200, B08, S02, 1
B08, Trade, 258208.400, 202, B08, S05, 1
B08, Trade, 258240.250, 200, B08, S03, 1
B08, Trade, 258266.833, 202, B08, S02, 1
B08, Trade, 258291.533, 201, B08, S03, 1
B08, Trade, 258309.117, 200, B08, S03, 1
B08, Trade, 258313.050, 202, S01, B08, 1
B08, Trade, 258338.500, 199, B08, S03, 1
B08, Trade, 258366.333, 202, B08, S03, 1
B08, Trade, 258372.367, 200, B08, S05, 1
B08, Trade, 258393.067, 199, S05, B08, 1
B08, Trade, 258401.850, 202, B08, S03, 1
B08, Trade, 258410.717, 202, B08, S03, 1
B08, Trade, 258419.967, 202, B08, S04, 1
B08, Trade, 258423.500, 201, B08, S04, 1
B08, Trade, 258429.733, 197, B08, S02, 1
B08, Trade, 258458.733, 202, B08, S03, 1
B08, Trade, 258505.167, 202, B08, S01, 1
B08, Trade, 258533.500, 202, B08, S03, 1
B08, Trade, 258543.883, 198, B08, S03, 1
B08, Trade, 258549.133, 201, B08, S00, 1
B08, Trade, 258551.150, 202, B08, S05, 1
B08, Trade, 258558.033, 193, B08, S02, 1
B08, Trade, 258563.733, 197, B08, S04, 1
B08, Trade, 258566.967, 202, B08, S04, 1
B08, Trade, 258570.567, 197, B08, S02, 1
B08, Trade, 258578.750, 201, B08, S05, 1
B08, Trade, 258600.133, 201, B08, S03, 1
B08, Trade, 258611.033, 199, B08, S03, 1
B08, Trade, 258626.050, 199, B08, S02, 1
B08, Trade, 258675.000, 200, B08, S03, 1
B08, Trade, 258697.200, 202, B08, S05, 1
B08, Trade, 258698.583, 202, B08, S02, 1
B08, Trade, 258712.417, 202, B08, S03, 1
B08, Trade, 258723.850, 202, B08, S05, 1
B08, Trade, 258758.800, 199, B08, S02, 1
