,0,1
1235,,3.106161
1236,,1.406828
1237,,0.325144
1238,,3.880896
1239,,1.228075
1240,,0.926959
1241,,0.636399
1242,,0.153197
1243,,0.870014
1244,,0.059029
1245,,0.733206
1246,,0.018611
1247,,0.505425
1248,,0.3232
1249,,0.030695
1250,,0.028334
1251,,0.007917
1252,,0.005139
1253,,0.0
1254,,0.0
1255,,0.001389
1256,,0.000694
1257,,0.003472
1258,,0.0
1259,,0.0
1260,0.0,
1261,0.0,
1262,0.0,
1263,0.0,
1264,0.0,
1265,0.0,
1266,0.0,
1267,0.000556,
1268,0.0,
1269,0.0,
1270,0.0,
1271,0.0,
1272,0.002778,
1273,0.001667,
1274,0.011389,
1275,0.004167,
1276,0.016112,
1277,0.166117,
1278,0.234453,
1279,0.173895,
1280,0.714193,
1281,0.461128,
1282,1.345883,
1283,0.620301,
1284,1.213656,
1285,2.075632,
1286,1.012538,
1287,2.357032,
1288,2.859273,
1289,2.910108,
1290,5.154635,
1291,,6.027445
1292,,7.303604
1293,,6.314123
1294,,1.892015
1295,,1.301715
1296,,2.433423
1297,,0.719471
1298,,4.94435
1299,,4.521279
1300,,0.583077
1301,,1.313104
1302,,0.862532
1303,,0.997259
1304,,1.056984
1305,,0.705859
1306,,0.037779
1307,,0.04139
1308,,0.339179
1309,,0.444739
1310,,0.060836
1311,,0.006389
1312,,0.015556
1313,,0.044168
1314,,0.0
1315,,0.0
1316,,0.0
1317,,0.000833
1318,,0.0
1319,,0.0
1320,0.0,
1321,0.0,
1322,0.0,
1323,0.0,
1324,0.0,
1325,0.0,
1326,0.0,
1327,0.000278,
1328,0.0,
1329,0.0,
1330,0.0,
1331,0.000417,
1332,0.002917,
1333,0.000833,
1334,0.015417,
1335,0.003472,
1336,0.022223,
1337,0.156114,
1338,0.227921,
1339,0.159031,
1340,0.686402,
1341,0.417508,
1342,1.349886,
1343,0.618067,
1344,1.2053,
1345,1.992815,
1346,1.002796,
1347,2.387405,
1348,2.773801,
1349,2.947832,
1350,5.142179,
1351,,6.136503
1352,,7.387637
1353,,6.256366
1354,,1.826145
1355,,1.329469
1356,,2.463101
1357,,0.74293
1358,,4.92023
1359,,4.539112
1360,,0.524176
1361,,1.300857
1362,,0.832793
1363,,1.050575
1364,,1.007935
1365,,0.697374
1366,,0.043334
1367,,0.04139
1368,,0.311117
1369,,0.451953
1370,,0.056112
1371,,0.003195
1372,,0.016528
1373,,0.039584
1374,,0.0
1375,,0.0
1376,,0.001389
1377,,0.000694
1378,,0.0
1379,,0.0
1380,0.0,
1381,0.0,
1382,0.0,
1383,0.0,
1384,0.0,
1385,0.0,
1386,0.0,
1387,0.0,
1388,0.003056,
1389,0.0,
1390,0.0,
1391,0.0,
1392,0.023057,
1393,0.019167,
1394,0.005556,
1395,0.188063,
1396,0.310846,
1397,0.169452,
1398,0.760032,
1399,0.17473,
1400,0.442796,
1401,1.007542,
1402,0.770588,
1403,1.266442,
1404,1.327,
1405,2.733447,
1406,3.268747,
1407,3.329861,
1408,4.376016,
1409,4.28879,
1410,8.237843,
1411,,4.461853
1412,,7.397253
1413,,4.876314
1414,,6.004695
1415,,1.752017
1416,,1.556176
1417,,1.131992
1418,,2.274539
1419,,2.384266
1420,,3.696543
1421,,0.711141
1422,,2.861508
1423,,0.456408
1424,,0.038057
1425,,0.038335
1426,,0.008889
1427,,0.234454
1428,,0.446685
1429,,0.003333
1430,,0.024723
1431,,0.037779
1432,,0.049447
1433,,0.029446
1434,,0.0
1435,,0.0
1436,,0.0
1437,,0.001389
1438,,0.0
1439,,0.0
1440,0.0,
1441,0.0,
1442,0.0,
1443,0.0,
1444,0.0,
1445,0.0,
1446,0.0,
1447,0.0,
