B00, 1
B08, Trade, 236322.400, 219, B08, S02, 1
B08, Trade, 236355.783, 222, B08, S03, 1
B08, Trade, 236472.483, 222, B08, S01, 1
B08, Trade, 236491.650, 222, B08, S00, 1
B08, Trade, 236634.650, 222, B08, S05, 1
B08, Trade, 236727.467, 220, B08, S03, 1
B08, Trade, 236902.183, 222, B08, S00, 1
B08, Trade, 236945.750, 221, B08, S00, 1
B08, Trade, 237205.033, 222, B08, S00, 1
B08, Trade, 237258.900, 221, B08, S03, 1
B08, Trade, 237270.733, 221, B08, S00, 1
B08, Trade, 237289.100, 221, B08, S02, 1
B08, Trade, 237299.467, 222, B08, S01, 1
B08, Trade, 237429.633, 219, B08, S00, 1
B08, Trade, 237444.517, 221, B08, S00, 1
B08, Trade, 237474.567, 220, B08, S02, 1
B08, Trade, 237659.183, 221, B08, S05, 1
B08, Trade, 237756.833, 222, B08, S04, 1
B08, Trade, 237768.517, 221, B08, S05, 1
B08, Trade, 238206.617, 221, B08, S01, 1
B08, Trade, 238274.667, 222, B08, S05, 1
B08, Trade, 238363.750, 222, B08, S01, 1
B08, Trade, 238386.617, 222, B08, S01, 1
B08, Trade, 238402.500, 222, B08, S08, 1
B08, Trade, 238410.917, 222, B08, S04, 1
B08, Trade, 238560.183, 220, B08, S00, 1
B08, Trade, 238588.550, 222, B08, S00, 1
B08, Trade, 238838.533, 222, B08, S05, 1
B08, Trade, 238860.567, 222, B08, S05, 1
B08, Trade, 238897.583, 222, B08, S05, 1
B08, Trade, 238944.967, 222, B08, S05, 1
B08, Trade, 239038.550, 222, B08, S06, 1
B08, Trade, 239176.567, 221, B08, S02, 1
B08, Trade, 239198.000, 221, B08, S02, 1
B08, Trade, 239343.317, 222, B08, S00, 1
B08, Trade, 239359.267, 220, S00, B08, 1
B08, Trade, 239572.417, 222, B08, S05, 1
B08, Trade, 239633.683, 220, B08, S01, 1
B08, Trade, 239860.700, 221, B08, S01, 1
B08, Trade, 239976.917, 221, B08, S01, 1
B08, Trade, 240045.883, 221, B08, S05, 1
B08, Trade, 240065.833, 222, B08, S01, 1
B08, Trade, 240111.100, 222, B08, S01, 1
B08, Trade, 240143.983, 222, B08, S08, 1
B08, Trade, 240412.317, 222, B08, S01, 1
B08, Trade, 240694.150, 221, B08, S05, 1
B08, Trade, 240732.683, 222, B08, S01, 1
B08, Trade, 240855.067, 221, B08, S01, 1
B08, Trade, 241099.150, 220, B08, S04, 1
B08, Trade, 241205.733, 218, B08, S01, 1
B08, Trade, 241388.283, 222, B08, S05, 1
B08, Trade, 241490.450, 217, B08, S01, 1
B08, Trade, 241560.117, 222, B08, S05, 1
B08, Trade, 241643.950, 221, B08, S06, 1
B08, Trade, 241687.783, 221, B08, S06, 1
B08, Trade, 241865.233, 221, B08, S06, 1
B08, Trade, 241929.667, 222, B08, S08, 1
B08, Trade, 242002.633, 222, B08, S08, 1
B08, Trade, 242703.550, 222, B08, S00, 1
B08, Trade, 242751.167, 220, B08, S01, 1
B08, Trade, 242905.300, 222, B08, S08, 1
B08, Trade, 242931.767, 216, B08, S01, 1
B08, Trade, 242946.483, 221, B08, S06, 1
B08, Trade, 243001.233, 222, S08, B08, 1
B08, Trade, 243057.850, 218, B08, S04, 1
B08, Trade, 243135.867, 222, B08, S05, 1
B08, Trade, 243379.617, 222, B08, S08, 1
B08, Trade, 243398.983, 221, B08, S00, 1
B08, Trade, 243459.467, 221, B08, S01, 1
B08, Trade, 243576.133, 222, B08, S01, 1
B08, Trade, 243662.117, 222, B08, S01, 1
B08, Trade, 243780.083, 222, B08, S00, 1
B08, Trade, 243788.967, 221, B08, S01, 1
B08, Trade, 243811.850, 221, B08, S00, 1
B08, Trade, 244168.383, 222, B08, S05, 1
B08, Trade, 244344.483, 222, B08, S04, 1
B08, Trade, 244376.233, 219, B08, S01, 1
B08, Trade, 244452.467, 222, B08, S00, 1
B08, Trade, 244693.550, 221, B08, S04, 1
B08, Trade, 244734.117, 220, B08, S01, 1
B08, Trade, 246294.417, 221, B08, S01, 1
B08, Trade, 249923.167, 206, B08, S00, 1
B08, Trade, 250519.383, 222, B08, S01, 1
B08, Trade, 255000.783, 220, B08, S00, 1
B08, Trade, 255085.400, 222, B08, S02, 1
B08, Trade, 258985.217, 219, B08, S02, 1
B09, 100
B09, Trade, 253108.950, 224, B09, S09, 1
B09, Trade, 253157.833, 224, B09, S01, 1
B09, Trade, 253183.000, 224, B09, S00, 1
B09, Trade, 253208.517, 224, B09, S02, 1
B09, Trade, 253254.033, 224, B09, S02, 1
B09, Trade, 253383.433, 224, B09, S04, 1
B09, Trade, 253440.683, 224, B09, S07, 1
B09, Trade, 253521.667, 224, B09, S00, 1
B09, Trade, 253573.250, 224, B09, S01, 1
B09, Trade, 253624.417, 224, B09, S00, 1
B09, Trade, 253649.950, 224, B09, S02, 1
B09, Trade, 253708.767, 224, B09, S01, 1
B09, Trade, 253727.717, 224, B09, S00, 1
B09, Trade, 253740.400, 224, B09, S02, 1
B09, Trade, 253901.033, 224, B09, S00, 1
B09, Trade, 253938.967, 224, B09, S00, 1
B09, Trade, 254028.717, 224, B09, S05, 1
B09, Trade, 254073.100, 224, B09, S02, 1
B09, Trade, 254121.700, 224, B09, S01, 1
B09, Trade, 254180.500, 224, B09, S00, 1
B09, Trade, 254188.183, 224, B09, S00, 1
B09, Trade, 254219.950, 224, B09, S02, 1
B09, Trade, 254230.783, 224, B09, S02, 1
B09, Trade, 254324.667, 224, B09, S09, 1
B09, Trade, 254494.767, 224, B09, S00, 1
B09, Trade, 254519.050, 224, B09, S02, 1
B09, Trade, 254601.867, 224, B09, S00, 1
B09, Trade, 254683.200, 224, B09, S08, 1
B09, Trade, 254718.617, 224, B09, S00, 1
B09, Trade, 254726.800, 224, B09, S05, 1
B09, Trade, 254732.033, 224, B09, S09, 1
B09, Trade, 254734.833, 224, B09, S02, 1
B09, Trade, 254762.950, 224, B09, S02, 1
B09, Trade, 254802.050, 224, B09, S00, 1
B09, Trade, 254827.917, 224, B09, S00, 1
B09, Trade, 254877.783, 224, B09, S00, 1
B09, Trade, 254915.717, 224, S05, B09, 1
B09, Trade, 254998.933, 224, B09, S06, 1
B09, Trade, 255140.033, 224, B09, S01, 1
B09, Trade, 255166.667, 224, B09, S08, 1
B09, Trade, 255212.300, 224, B09, S01, 1
B09, Trade, 255246.233, 224, B09, S09, 1
B09, Trade, 255307.867, 224, B09, S02, 1
B09, Trade, 255372.117, 224, B09, S02, 1
B09, Trade, 255444.367, 224, B09, S02, 1
B09, Trade, 255452.067, 224, B09, S06, 1
B09, Trade, 255580.233, 222, B09, S06, 1
B09, Trade, 255621.400, 224, B09, S01, 1
B09, Trade, 255644.517, 224, B09, S04, 1
B09, Trade, 255684.533, 224, B09, S09, 1
B09, Trade, 255704.533, 224, B09, S09, 1
B09, Trade, 255752.800, 223, B09, S02, 1
B09, Trade, 255837.200, 224, B09, S02, 1
B09, Trade, 255846.983, 224, B09, S01, 1
B09, Trade, 255861.500, 224, B09, S00, 1
B09, Trade, 255882.283, 224, B09, S09, 1
B09, Trade, 255952.317, 224, B09, S02, 1
B09, Trade, 256059.800, 224, B09, S02, 1
B09, Trade, 256103.250, 224, B09, S05, 1
B09, Trade, 256318.283, 224, B09, S01, 1
B09, Trade, 256378.767, 224, B09, S02, 1
B09, Trade, 256422.950, 224, B09, S09, 1
B09, Trade, 256556.617, 224, B09, S02, 1
B09, Trade, 256576.667, 224, B09, S02, 1
B09, Trade, 256598.300, 224, B09, S00, 1
B09, Trade, 256640.467, 224, B09, S02, 1
B09, Trade, 256856.933, 224, B09, S02, 1
B09, Trade, 256869.517, 224, B09, S01, 1
B09, Trade, 257025.100, 224, B09, S01, 1
B09, Trade, 257043.600, 224, B09, S04, 1
B09, Trade, 257097.867, 224, B09, S09, 1
B09, Trade, 257115.350, 224, B09, S00, 1
B09, Trade, 257255.533, 224, B09, S09, 1
B09, Trade, 257273.483, 224, B09, S06, 1
B09, Trade, 257350.683, 224, B09, S00, 1
B09, Trade, 257425.317, 224, B09, S05, 1
B09, Trade, 257609.633, 224, B09, S05, 1
B09, Trade, 257614.050, 224, B09, S07, 1
B09, Trade, 257802.767, 224, B09, S01, 1
B09, Trade, 257958.017, 224, B09, S03, 1
B09, Trade, 258027.183, 224, B09, S02, 1
B09, Trade, 258036.800, 224, B09, S02, 1
B09, Trade, 258079.717, 224, B09, S02, 1
B09, Trade, 258154.450, 221, B09, S05, 1
B09, Trade, 258230.083, 224, B09, S00, 1
B09, Trade, 258302.383, 224, B09, S00, 1
B09, Trade, 258349.450, 224, B09, S05, 1
B09, Trade, 258378.850, 224, B09, S01, 1
B09, Trade, 258424.483, 224, B09, S02, 1
B09, Trade, 258630.750, 224, B09, S02, 1
B09, Trade, 258695.900, 224, B09, S00, 1
B09, Trade, 258699.417, 224, B09, S02, 1
B09, Trade, 258757.650, 224, B09, S03, 1
B09, Trade, 258851.767, 224, S09, B09, 1
B09, Trade, 258977.250, 224, B09, S00, 1
B09, Trade, 259026.700, 224, B09, S04, 1
B09, Trade, 259036.800, 224, B09, S01, 1
B09, Trade, 259073.783, 224, B09, S06, 1
B09, Trade, 259127.933, 224, B09, S00, 1
B09, Trade, 259157.700, 224, B09, S00, 1
B10, 100
B10, Trade, 237399.750, 227, B10, S02, 1
B10, Trade, 237412.567, 227, B10, S09, 1
B10, Trade, 237421.917, 227, B10, S05, 1
B10, Trade, 237429.300, 227, B10, S06, 1
B10, Trade, 237442.983, 227, B10, S05, 1
B10, Trade, 237454.300, 227, B10, S09, 1
B10, Trade, 237469.900, 227, B10, S00, 1
B10, Trade, 237488.583, 227, B10, S09, 1
B10, Trade, 237512.267, 227, B10, S02, 1
B10, Trade, 237519.850, 224, B10, S02, 1
B10, Trade, 237533.867, 227, B10, S03, 1
B10, Trade, 237564.567, 227, B10, S09, 1
B10, Trade, 237567.817, 225, B10, S06, 1
B10, Trade, 237596.367, 227, B10, S00, 1
B10, Trade, 241389.850, 216, B10, S02, 1
B10, Trade, 241998.667, 216, B10, S01, 1
B10, Trade, 243760.533, 216, B10, S01, 1
B10, Trade, 244854.683, 221, B10, S01, 1
B10, Trade, 244866.733, 221, B10, S05, 1
B10, Trade, 245181.300, 221, B10, S00, 1
B10, Trade, 245241.167, 214, B10, S02, 1
B10, Trade, 245253.550, 221, B10, S02, 1
B10, Trade, 245260.383, 221, B10, S01, 1
B10, Trade, 245511.283, 221, B10, S02, 1
B10, Trade, 245557.967, 216, B10, S01, 1
B10, Trade, 245595.917, 219, B10, S02, 1
B10, Trade, 245683.283, 221, B10, S05, 1
B10, Trade, 245936.033, 221, B10, S02, 1
B10, Trade, 246347.317, 221, B10, S01, 1
B10, Trade, 246379.567, 221, B10, S05, 1
B10, Trade, 246401.267, 221, B10, S05, 1
B10, Trade, 246415.617, 221, B10, S01, 1
B10, Trade, 246586.583, 219, B10, S01, 1
B10, Trade, 246605.033, 221, B10, S02, 1
B10, Trade, 247078.100, 219, B10, S00, 1
B10, Trade, 247116.983, 216, B10, S01, 1
B10, Trade, 247245.667, 221, B10, S00, 1
B10, Trade, 247484.567, 221, B10, S00, 1
B10, Trade, 247541.050, 221, B10, S00, 1
B10, Trade, 247711.650, 221, B10, S02, 1
B10, Trade, 247722.800, 221, B10, S02, 1
B10, Trade, 247991.050, 216, B10, S02, 1
B10, Trade, 248018.150, 218, B10, S01, 1
B10, Trade, 248102.917, 221, B10, S02, 1
B10, Trade, 248109.000, 221, B10, S00, 1
B10, Trade, 248287.733, 216, B10, S01, 1
B10, Trade, 248384.517, 221, B10, S02, 1
B10, Trade, 248456.800, 221, B10, S01, 1
B10, Trade, 248477.283, 219, B10, S06, 1
B10, Trade, 248487.300, 219, B10, S00, 1
B10, Trade, 248510.067, 220, B10, S02, 1
B10, Trade, 248665.650, 221, B10, S05, 1
B10, Trade, 248715.933, 221, B10, S02, 1
B10, Trade, 248810.167, 221, B10, S01, 1
B10, Trade, 248929.750, 221, B10, S00, 1
B10, Trade, 249123.600, 221, B10, S01, 1
B10, Trade, 249487.767, 221, B10, S02, 1
B10, Trade, 249838.567, 221, B10, S02, 1
