B00, 0
B01, 0
B02, 0
B03, 1
B08, Trade, 796733.367, 82, B08, S06, 1
B08, Trade, 796960.001, 82, B08, S00, 1
B08, Trade, 798180.901, 82, B08, S00, 1
B08, Trade, 798529.301, 81, B08, S02, 1
B08, Trade, 799203.967, 80, B08, S01, 1
B08, Trade, 799239.901, 81, B08, S07, 1
B08, Trade, 799464.984, 82, B08, S01, 1
B08, Trade, 800623.117, 80, B08, S07, 1
B08, Trade, 800872.317, 82, B08, S00, 1
B08, Trade, 801371.601, 80, B08, S04, 1
B08, Trade, 801430.234, 81, B08, S04, 1
B08, Trade, 801485.934, 81, B08, S01, 1
B08, Trade, 801622.301, 80, B08, S01, 1
B08, Trade, 801704.034, 81, B08, S01, 1
B08, Trade, 802234.501, 81, B08, S01, 1
B08, Trade, 802688.667, 82, B08, S01, 1
B08, Trade, 802992.017, 82, B08, S05, 1
B08, Trade, 803793.584, 79, B08, S01, 1
B08, Trade, 803887.284, 79, S07, B08, 1
B08, Trade, 804273.984, 79, B08, S04, 1
B08, Trade, 804332.667, 79, S00, B08, 1
B08, Trade, 804363.884, 70, B08, S01, 1
B08, Trade, 805146.517, 77, B08, S02, 1
B08, Trade, 806045.167, 81, B08, S01, 1
B08, Trade, 810792.484, 82, B08, S05, 1
B08, Trade, 816859.718, 82, B08, S02, 1
B08, Trade, 817542.901, 81, B08, S06, 1
B08, Trade, 818230.601, 80, B08, S00, 1
B08, Trade, 819715.351, 82, B08, S02, 1
B08, Trade, 820080.718, 82, B08, S00, 1
B08, Trade, 820345.034, 82, B08, S01, 1
B08, Trade, 822189.134, 82, B08, S00, 1
B08, Trade, 822528.651, 82, S07, B08, 1
B08, Trade, 822925.884, 82, B08, S00, 1
B08, Trade, 823974.151, 82, B08, S01, 1
B08, Trade, 824536.051, 79, B08, S01, 1
B08, Trade, 824898.734, 82, B08, S06, 1
B08, Trade, 824983.751, 82, B08, S07, 1
B08, Trade, 825840.268, 80, B08, S01, 1
B08, Trade, 825850.434, 80, B08, S01, 1
B08, Trade, 826495.851, 82, B08, S01, 1
B08, Trade, 827204.918, 81, B08, S01, 1
B08, Trade, 827662.818, 80, B08, S01, 1
B08, Trade, 827903.884, 82, B08, S00, 1
B08, Trade, 829716.868, 79, B08, S04, 1
B08, Trade, 829809.151, 81, B08, S02, 1
B08, Trade, 845706.568, 79, B08, S01, 1
B08, Trade, 846416.684, 82, B08, S00, 1
B08, Trade, 858908.384, 80, B08, S00, 1
B09, 100
B09, Trade, 854365.968, 83, B09, S00, 1
B09, Trade, 854369.468, 83, B09, S04, 1
B09, Trade, 854419.568, 83, B09, S00, 1
B09, Trade, 854428.534, 83, B09, S00, 1
B09, Trade, 854863.334, 83, B09, S01, 1
B09, Trade, 855174.434, 83, B09, S01, 1
B09, Trade, 855307.618, 83, B09, S01, 1
B09, Trade, 855329.668, 83, B09, S07, 1
B09, Trade, 855376.784, 83, B09, S00, 1
B09, Trade, 855451.818, 83, B09, S07, 1
B09, Trade, 855487.568, 83, B09, S00, 1
B09, Trade, 855553.001, 82, B09, S01, 1
B09, Trade, 855646.334, 83, B09, S04, 1
B09, Trade, 855789.618, 83, B09, S05, 1
B09, Trade, 855862.934, 83, B09, S07, 1
B09, Trade, 855958.634, 83, B09, S00, 1
B09, Trade, 855979.384, 83, B09, S02, 1
B09, Trade, 856047.618, 83, B09, S00, 1
B09, Trade, 856061.551, 83, B09, S05, 1
B09, Trade, 856100.068, 83, B09, S00, 1
B09, Trade, 856123.984, 83, B09, S01, 1
B09, Trade, 856140.801, 83, B09, S00, 1
B09, Trade, 856279.701, 83, B09, S00, 1
B09, Trade, 856299.118, 83, B09, S05, 1
B09, Trade, 856355.318, 83, B09, S00, 1
B09, Trade, 856363.468, 83, B09, S08, 1
B09, Trade, 856438.751, 83, B09, S01, 1
B09, Trade, 856451.018, 83, B09, S07, 1
B09, Trade, 856455.568, 83, B09, S00, 1
B09, Trade, 856630.718, 82, B09, S01, 1
B09, Trade, 856888.918, 84, B09, S00, 1
B09, Trade, 857028.101, 82, B09, S06, 1
B09, Trade, 857084.534, 84, B09, S07, 1
B09, Trade, 857101.351, 84, B09, S01, 1
B09, Trade, 857110.601, 84, B09, S05, 1
B09, Trade, 857119.901, 84, B09, S05, 1
B09, Trade, 857271.818, 84, B09, S01, 1
B09, Trade, 857339.534, 84, B09, S01, 1
B09, Trade, 857502.701, 84, B09, S07, 1
B09, Trade, 857591.084, 84, B09, S01, 1
